"ipo_month","total_proceeds","number_of_deals","spx_month","close_point","net_change","percentage_change"
"2022-12-01 00:00:00-05",31.1,1,"2022-12-01 00:00:00-05",3934.38,-145.73,-0.0357
"2022-11-01 00:00:00-04",172.41,4,"2022-11-01 00:00:00-04",4080.11,208.13,0.0538
"2022-10-01 00:00:00-04",572.46,6,"2022-10-01 00:00:00-04",3871.98,286.36,0.0799
"2022-09-01 00:00:00-04",2234.47,9,"2022-09-01 00:00:00-04",3585.62,-369.38,-0.0934
"2022-08-01 00:00:00-04",274.9,11,"2022-08-01 00:00:00-04",3955.0,-175.29,-0.0424
"2022-07-01 00:00:00-04",26.1,2,"2022-07-01 00:00:00-04",4130.29,344.91,0.0911
"2022-06-01 00:00:00-04",206.68,4,"2022-06-01 00:00:00-04",3785.38,-346.77,-0.0839
"2022-05-01 00:00:00-04",1055.55,9,"2022-05-01 00:00:00-04",4132.15,0.22,0.0001
"2022-04-01 00:00:00-04",1163.37,9,"2022-04-01 00:00:00-04",4131.93,-398.48,-0.088
"2022-03-01 00:00:00-05",1055.6,9,"2022-03-01 00:00:00-05",4530.41,156.47,0.0358
"2022-02-01 00:00:00-05",3275.27,23,"2022-02-01 00:00:00-05",4373.94,-141.61,-0.0314
"2022-01-01 00:00:00-05",7285.04,27,"2022-01-01 00:00:00-05",4515.55,-250.63,-0.0526
"2021-12-01 00:00:00-05",9026.5,46,"2021-12-01 00:00:00-05",4766.18,199.18,0.0436
"2021-11-01 00:00:00-04",28567.53,80,"2021-11-01 00:00:00-04",4567.0,-38.38,-0.0083
"2021-10-01 00:00:00-04",22732.42,88,"2021-10-01 00:00:00-04",4605.38,297.84,0.0691
"2021-09-01 00:00:00-04",18532.91,53,"2021-09-01 00:00:00-04",4307.54,-215.14,-0.0476
"2021-08-01 00:00:00-04",5933.9,36,"2021-08-01 00:00:00-04",4522.68,127.42,0.029
"2021-07-01 00:00:00-04",18666.23,68,"2021-07-01 00:00:00-04",4395.26,97.76,0.0227
"2021-06-01 00:00:00-04",21893.62,71,"2021-06-01 00:00:00-04",4297.5,93.39,0.0222
"2021-05-01 00:00:00-04",7903.66,32,"2021-05-01 00:00:00-04",4204.11,22.94,0.0055
"2021-04-01 00:00:00-04",14006.58,35,"2021-04-01 00:00:00-04",4181.17,208.28,0.0524
"2021-03-01 00:00:00-05",49037.98,133,"2021-03-01 00:00:00-05",3972.89,161.74,0.0424
"2021-02-01 00:00:00-05",37655.2,112,"2021-02-01 00:00:00-05",3811.15,96.91,0.0261
"2021-01-01 00:00:00-05",33873.63,98,"2021-01-01 00:00:00-05",3714.24,-41.83,-0.0111
"2020-12-01 00:00:00-05",24373.96,64,"2020-12-01 00:00:00-05",3756.07,134.44,0.0371
"2020-11-01 00:00:00-04",9350.68,34,"2020-11-01 00:00:00-04",3621.63,351.67,0.1075
"2020-10-01 00:00:00-04",22093.5,72,"2020-10-01 00:00:00-04",3269.96,-93.04,-0.0277
"2020-09-01 00:00:00-04",24818.97,59,"2020-09-01 00:00:00-04",3363.0,-137.31,-0.0392
"2020-08-01 00:00:00-04",14732.17,39,"2020-08-01 00:00:00-04",3500.31,229.19,0.0701
"2020-07-01 00:00:00-04",16076.77,37,"2020-07-01 00:00:00-04",3271.12,170.83,0.0551
"2020-06-01 00:00:00-04",15758.02,29,"2020-06-01 00:00:00-04",3100.29,55.98,0.0184
"2020-05-01 00:00:00-04",4116.2,13,"2020-05-01 00:00:00-04",3044.31,131.88,0.0453
"2020-04-01 00:00:00-04",2544.58,10,"2020-04-01 00:00:00-04",2912.43,327.84,0.1268
"2020-03-01 00:00:00-05",1060.84,4,"2020-03-01 00:00:00-05",2584.59,-369.63,-0.1251
"2020-02-01 00:00:00-05",5533.49,14,"2020-02-01 00:00:00-05",2954.22,-271.3,-0.0841
"2020-01-01 00:00:00-05",5010.51,10,"2020-01-01 00:00:00-05",3225.52,-5.26,-0.0016
"2019-12-01 00:00:00-05",1084.14,9,"2019-12-01 00:00:00-05",3230.78,89.8,0.0286
"2019-11-01 00:00:00-04",2327.69,17,"2019-11-01 00:00:00-04",3140.98,103.42,0.034
"2019-10-01 00:00:00-04",3514.82,18,"2019-10-01 00:00:00-04",3037.56,60.82,0.0204
"2019-09-01 00:00:00-04",7392.48,16,"2019-09-01 00:00:00-04",2976.74,50.28,0.0172
"2019-08-01 00:00:00-04",761.51,5,"2019-08-01 00:00:00-04",2926.46,-53.92,-0.0181
"2019-07-01 00:00:00-04",4577.47,21,"2019-07-01 00:00:00-04",2980.38,38.62,0.0131
"2019-06-01 00:00:00-04",8193.32,22,"2019-06-01 00:00:00-04",2941.76,189.7,0.0689
"2019-05-01 00:00:00-04",15950.44,26,"2019-05-01 00:00:00-04",2752.06,-193.77,-0.0658
"2019-04-01 00:00:00-04",5707.68,14,"2019-04-01 00:00:00-04",2945.83,111.43,0.0393
"2019-03-01 00:00:00-05",4766.2,9,"2019-03-01 00:00:00-05",2834.4,49.91,0.0179
"2019-02-01 00:00:00-05",2454.62,19,"2019-02-01 00:00:00-05",2784.49,80.39,0.0297
"2019-01-01 00:00:00-05",1860.0,5,"2019-01-01 00:00:00-05",2704.1,197.25,0.0787
"2018-12-01 00:00:00-05",1602.71,7,"2018-12-01 00:00:00-05",2506.85,-253.32,-0.0918
"2018-11-01 00:00:00-04",975.25,8,"2018-11-01 00:00:00-04",2760.17,48.43,0.0179
"2018-10-01 00:00:00-04",3990.12,21,"2018-10-01 00:00:00-04",2711.74,-202.24,-0.0694
"2018-09-01 00:00:00-04",4229.03,15,"2018-09-01 00:00:00-04",2913.98,12.46,0.0043
"2018-08-01 00:00:00-04",1773.8,12,"2018-08-01 00:00:00-04",2901.52,85.23,0.0303
"2018-07-01 00:00:00-04",2690.08,19,"2018-07-01 00:00:00-04",2816.29,97.92,0.036
"2018-06-01 00:00:00-04",6243.92,30,"2018-06-01 00:00:00-04",2718.37,13.1,0.0048
"2018-05-01 00:00:00-04",6774.85,19,"2018-05-01 00:00:00-04",2705.27,57.22,0.0216
"2018-04-01 00:00:00-04",3603.75,12,"2018-04-01 00:00:00-04",2648.05,7.18,0.0027
"2018-03-01 00:00:00-05",1782.69,10,"2018-03-01 00:00:00-05",2640.87,-72.96,-0.0269
"2018-02-01 00:00:00-05",1915.31,11,"2018-02-01 00:00:00-05",2713.83,-109.98,-0.0389
"2018-01-01 00:00:00-05",8092.33,22,"2018-01-01 00:00:00-05",2823.81,150.2,0.0562
"2017-12-01 00:00:00-05",1617.01,11,"2017-12-01 00:00:00-05",2673.61,26.03,0.0098
"2017-11-01 00:00:00-04",3871.26,25,"2017-11-01 00:00:00-04",2647.58,72.32,0.0281
"2017-10-01 00:00:00-04",4223.7,18,"2017-10-01 00:00:00-04",2575.26,55.9,0.0222
"2017-09-01 00:00:00-04",1975.79,11,"2017-09-01 00:00:00-04",2519.36,47.71,0.0193
"2017-08-01 00:00:00-04",798.75,8,"2017-08-01 00:00:00-04",2471.65,1.35,0.0005
"2017-07-01 00:00:00-04",2428.7,14,"2017-07-01 00:00:00-04",2470.3,46.89,0.0193
"2017-06-01 00:00:00-04",4937.63,23,"2017-06-01 00:00:00-04",2423.41,11.61,0.0048
"2017-05-01 00:00:00-04",4387.2,17,"2017-05-01 00:00:00-04",2411.8,27.6,0.0116
"2017-04-01 00:00:00-04",3962.61,16,"2017-04-01 00:00:00-04",2384.2,21.48,0.0091
"2017-03-01 00:00:00-05",7122.65,11,"2017-03-01 00:00:00-05",2362.72,-0.92,-0.0004
"2017-02-01 00:00:00-05",754.42,8,"2017-02-01 00:00:00-05",2363.64,84.77,0.0372
"2017-01-01 00:00:00-05",5055.28,12,"2017-01-01 00:00:00-05",2278.87,40.04,0.0179
"2016-12-01 00:00:00-05",564.12,7,"2016-12-01 00:00:00-05",2238.83,40.02,0.0182
"2016-11-01 00:00:00-04",218.71,3,"2016-11-01 00:00:00-04",2198.81,72.66,0.0342
"2016-10-01 00:00:00-04",3874.81,18,"2016-10-01 00:00:00-04",2126.15,-42.12,-0.0194
"2016-09-01 00:00:00-04",2713.59,16,"2016-09-01 00:00:00-04",2168.27,-2.68,-0.0012
"2016-08-01 00:00:00-04",1075.45,8,"2016-08-01 00:00:00-04",2170.95,-2.65,-0.0012
"2016-07-01 00:00:00-04",2031.94,11,"2016-07-01 00:00:00-04",2173.6,74.74,0.0356
"2016-06-01 00:00:00-04",798.57,9,"2016-06-01 00:00:00-04",2098.86,1.9,0.0009
"2016-05-01 00:00:00-04",3740.49,18,"2016-05-01 00:00:00-04",2096.96,31.66,0.0153
"2016-04-01 00:00:00-04",2447.25,8,"2016-04-01 00:00:00-04",2065.3,5.56,0.0027
"2016-03-01 00:00:00-05",263.44,5,"2016-03-01 00:00:00-05",2059.74,127.51,0.066
"2016-02-01 00:00:00-05",764.12,4,"2016-02-01 00:00:00-05",1932.23,-8.01,-0.0041
"2016-01-01 00:00:00-05",81.21,2,"2016-01-01 00:00:00-05",1940.24,-103.7,-0.0507
"2015-12-01 00:00:00-05",606.3,2,"2015-12-01 00:00:00-05",2043.94,-36.47,-0.0175
"2015-11-01 00:00:00-04",1420.11,10,"2015-11-01 00:00:00-04",2080.41,1.05,0.0005
